iter	Passed	Remaining
566	10405	7946
567	10423	7927
568	10439	7907
569	10458	7889
570	10475	7870
571	10492	7850
572	10509	7831
573	10526	7812
574	10542	7792
575	10564	7776
576	10582	7758
577	10600	7739
578	10618	7720
579	10634	7701
580	10652	7682
581	10669	7663
582	10687	7644
583	10704	7624
584	10721	7606
585	10738	7586
586	10754	7566
587	10772	7548
588	10789	7528
589	10806	7509
590	10822	7489
591	10838	7469
592	10855	7450
593	10872	7431
594	10890	7412
595	10906	7393
596	10923	7374
597	10940	7354
598	10957	7335
599	10975	7317
600	10996	7300
601	11013	7281
602	11029	7261
603	11047	7242
604	11063	7223
605	11081	7204
606	11099	7186
607	11116	7167
608	11132	7147
609	11150	7129
610	11167	7109
611	11183	7090
612	11200	7071
613	11217	7052
614	11233	7032
615	11250	7013
616	11267	6993
617	11285	6975
618	11302	6957
619	11319	6937
620	11337	6919
621	11354	6900
622	11372	6881
623	11389	6862
624	11407	6844
625	11426	6826
626	11442	6807
627	11459	6788
628	11476	6769
629	11492	6749
630	11509	6730
631	11524	6710
632	11541	6691
633	11558	6672
634	11575	6653
635	11594	6635
636	11612	6617
637	11628	6597
638	11645	6578
639	11662	6560
640	11680	6541
641	11697	6522
642	11714	6503
643	11732	6485
644	11749	6466
645	11766	6447
646	11784	6429
647	11801	6410
648	11816	6390
649	11836	6373
650	11857	6356
651	11876	6338
652	11895	6321
653	11914	6303
654	11934	6285
655	11952	6267
656	11970	6249
657	11989	6231
658	12007	6213
659	12026	6195
660	12045	6177
661	12062	6158
662	12080	6140
663	12097	6121
664	12113	6102
665	12131	6083
666	12148	6065
667	12165	6046
668	12182	6027
669	12198	6008
670	12215	5989
671	12232	5970
672	12248	5951
673	12268	5933
674	12286	5915
675	12303	5896
676	12321	5878
677	12339	5860
678	12356	5841
679	12374	5823
680	12391	5804
681	12408	5785
682	12426	5767
683	12445	5749
684	12463	5731
685	12480	5712
686	12496	5693
687	12514	5675
688	12531	5656
689	12547	5637
690	12564	5618
691	12582	5600
692	12599	5581
693	12618	5563
694	12634	5544
695	12652	5526
696	12670	5508
697	12691	5491
698	12706	5471
699	12723	5453
700	12740	5434
701	12757	5415
702	12774	5396
703	12790	5377
704	12806	5358
705	12822	5339
706	12840	5321
707	12857	5302
708	12874	5284
709	12891	5265
710	12907	5246
711	12928	5229
712	12946	5211
713	12964	5193
714	12982	5174
715	12998	5155
716	13015	5137
717	13032	5118
718	13049	5100
719	13067	5081
720	13085	5063
721	13105	5046
722	13123	5028
723	13141	5009
724	13158	4991
725	13176	4973
726	13192	4954
727	13210	4935
728	13227	4917
729	13244	4898
730	13261	4879
731	13277	4861
732	13292	4841
733	13309	4823
734	13325	4804
735	13342	4785
736	13358	4767
737	13374	4748
738	13390	4729
739	13407	4710
740	13423	4691
741	13442	4674
742	13464	4657
743	13482	4639
744	13498	4620
745	13516	4602
746	13536	4584
747	13554	4566
748	13571	4548
749	13588	4529
750	13604	4510
751	13622	4492
752	13639	4474
753	13655	4455
754	13673	4436
755	13689	4418
756	13704	4399
757	13721	4380
758	13739	4362
759	13757	4344
760	13774	4325
761	13790	4307
762	13808	4289
763	13824	4270
764	13842	4252
765	13861	4234
766	13878	4215
767	13895	4197
768	13912	4179
769	13930	4160
770	13949	4143
771	13969	4125
772	13984	4106
773	14001	4088
774	14018	4070
775	14035	4051
776	14054	4033
777	14071	4015
778	14089	3997
779	14108	3979
780	14125	3961
781	14143	3942
782	14160	3924
783	14176	3905
784	14194	3887
785	14211	3869
786	14227	3850
787	14244	3832
788	14260	3813
789	14279	3795
790	14295	3777
791	14310	3758
792	14326	3739
793	14342	3721
794	14358	3702
795	14377	3684
796	14395	3666
797	14410	3647
798	14426	3629
799	14443	3610
800	14460	3592
801	14475	3573
802	14492	3555
803	14509	3537
804	14527	3519
805	14545	3500
806	14563	3482
807	14580	3464
808	14597	3446
809	14615	3428
810	14633	3410
811	14650	3391
812	14666	3373
813	14684	3355
814	14701	3337
815	14718	3318
816	14735	3300
817	14751	3282
818	14768	3263
819	14784	3245
820	14804	3227
821	14822	3209
822	14838	3191
823	14854	3172
824	14868	3153
825	14883	3135
826	14899	3116
827	14915	3098
828	14931	3079
829	14947	3061
830	14963	3043
831	14979	3024
832	14995	3006
833	15011	2987
834	15029	2969
835	15045	2951
836	15063	2933
837	15080	2915
838	15097	2897
839	15114	2878
840	15131	2860
841	15147	2842
842	15163	2823
843	15180	2805
844	15197	2787
845	15215	2769
846	15236	2752
847	15253	2734
848	15277	2717
849	15294	2699
850	15311	2680
851	15328	2662
852	15346	2644
853	15363	2626
854	15386	2609
855	15405	2591
856	15431	2574
857	15452	2557
858	15473	2539
859	15492	2522
860	15515	2504
861	15536	2487
862	15559	2469
863	15580	2452
864	15600	2434
865	15621	2417
866	15640	2399
867	15661	2381
868	15679	2363
869	15696	2345
870	15713	2327
871	15731	2309
872	15747	2290
873	15765	2272
874	15782	2254
875	15799	2236
876	15816	2218
877	15834	2200
878	15851	2182
879	15868	2163
880	15886	2145
881	15903	2127
882	15924	2110
883	15946	2092
884	15973	2075
885	15998	2058
886	16026	2041
887	16048	2024
888	16072	2006
889	16100	1989
890	16125	1972
891	16147	1955
892	16170	1937
893	16192	1919
894	16215	1902
895	16238	1884
896	16262	1867
897	16286	1849
898	16307	1832
899	16332	1814
900	16393	1801
901	16423	1784
902	16448	1766
903	16471	1749
904	16495	1731
905	16525	1714
906	16553	1697
907	16578	1679
908	16602	1662
909	16627	1644
910	16653	1626
911	16677	1609
912	16703	1591
913	16726	1573
914	16752	1556
915	16777	1538
916	16800	1520
917	16827	1503
918	16852	1485
919	16879	1467
920	16904	1450
921	16930	1432
922	16956	1414
923	16989	1397
924	17012	1379
925	17039	1361
926	17061	1343
927	17088	1325
928	17111	1307
929	17134	1289
930	17159	1271
931	17186	1253
932	17210	1235
933	17235	1217
934	17259	1199
935	17285	1181
936	17308	1163
937	17334	1145
938	17355	1127
939	17381	1109
940	17404	1091
941	17429	1073
942	17452	1054
943	17475	1036
944	17500	1018
945	17523	1000
946	17548	982
947	17576	964
948	17602	945
949	17630	927
950	17656	909
951	17681	891
952	17705	873
953	17733	855
954	17756	836
955	17782	818
956	17806	800
957	17832	781
958	17861	763
959	17885	745
960	17908	726
961	17933	708
962	17959	690
963	17984	671
964	18010	653
965	18032	634
966	18058	616
967	18082	597
968	18108	579
969	18130	560
970	18155	542
971	18178	523
972	18205	505
973	18228	486
974	18252	468
975	18276	449
976	18304	430
977	18327	412
978	18352	393
979	18375	375
980	18400	356
981	18423	337
982	18452	319
983	18476	300
984	18501	281
985	18524	263
986	18552	244
987	18575	225
988	18602	206
989	18627	188
990	18652	169
991	18676	150
992	18702	131
993	18734	113
994	18760	94
995	18784	75
996	18807	56
997	18834	37
998	18861	18
999	18885	0
